Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2002","2002","g/capita/day","19.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2003","2003","g/capita/day","17.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2004","2004","g/capita/day","16.58","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2005","2005","g/capita/day","18.07","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2006","2006","g/capita/day","20.36","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2007","2007","g/capita/day","19.03","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2008","2008","g/capita/day","19.87","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2009","2009","g/capita/day","18.13","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2010","2010","g/capita/day","19.17","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","2011","g/capita/day","17.81","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2012","2012","g/capita/day","19.33","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2013","2013","g/capita/day","20.11","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2945","Offals","1961","1961","tonnes","91540","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2945","Offals","1962","1962","tonnes","104142","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2945","Offals","1963","1963","tonnes","113241","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2945","Offals","1964","1964","tonnes","118043","A","Aggregate, may include official, semi-official, estimated or calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","641","Food supply quantity (tonnes)","2945","Offals","1965","1965","tonnes","119633","A","Aggregate, may include official, semi-official, estimated or calculated data"
